wavelength,species,ep,gf,Sun,hd4813,hd9826,hd16673,hd20367,hd26923
6858.15,26,4.61,-0.94,52.7,38,50.8,40.7,48.9,45.9
7583.79,26,3.02,-1.88,84.9,63.7,78.8,64.8,79.1,74.2
4491.4,26.1,2.856,-2.66,79.2,,95.5,84.8,90.8,81.1
4508.29,26.1,2.856,-2.52,87.8,94.2,111.8,102,102,94.6
4576.333,26.1,2.844,-2.95,64.9,71.1,87.6,76.1,75.8,70
4620.513,26.1,2.828,-3.21,54.7,55.5,70.3,61,63.8,54.8
4993.34,26.1,2.81,-3.73,36.8,41.7,53.9,44.4,45.4,39
5197.577,26.1,3.231,-2.22,83.4,91,106.5,96.9,98,88.8
5234.624,26.1,3.221,-2.18,84.5,90.8,104.7,96.7,99.8,92.5
5264.804,26.1,3.23,-3.13,45.5,50.9,64.1,48,54.5,48.3
5325.55,26.1,3.22,-3.25,41.3,45.4,60.4,49.1,49.9,47.2
5414.072,26.1,3.221,-3.58,28,29.2,40.8,31.3,36.1,27.9
5425.257,26.1,3.2,-3.22,41.5,45,61.3,49.3,50.4,44.4
6084.09,26.1,3.2,-3.83,21.1,23.3,35.9,26,27,22.3
6149.24,26.1,3.89,-2.75,36.2,42.6,56,47.3,47.5,40.3
6247.55,26.1,3.89,-2.38,53.5,62.5,81.1,70.4,67.9,59
6369.462,26.1,2.891,-4.11,19.7,21.7,33.6,24.2,24.8,21
6432.676,26.1,2.891,-3.57,42.4,45.7,60.1,49.7,52.6,47.2
6456.383,26.1,3.9036,-2.05,65.3,75.3,88.8,81.6,81.8,73.1
7515.831,26.1,3.903,-3.39,14.4,16.9,25.9,18.9,19.8,17.2
